"date","name","fullname","megabytes","height_pixels","width_pixels","megapixels"
"5/9/2018 10:47:44 AM","plant2.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant2.png","0.0180444717407227","90","118","0.01062"
"5/9/2018 10:47:47 AM","plant3.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant3.png","0.0192232131958008","98","120","0.01176"
"5/9/2018 10:47:49 AM","plant4.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant4.png","0.0235691070556641","109","131","0.014279"
"5/9/2018 10:47:51 AM","plant5.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant5.png","0.0183639526367188","95","132","0.01254"
"5/9/2018 10:47:53 AM","plant6.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant6.png","0.0193166732788086","116","132","0.015312"
"5/9/2018 10:47:56 AM","plant7.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant7.png","0.0114679336547852","77","110","0.00847"
"5/9/2018 10:47:58 AM","plant8.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant8.png","0.0194158554077148","116","115","0.01334"
"5/9/2018 10:48:00 AM","plant9.png","\\beast\c\initium\Initium-Resources\war\images\2d\plants\plant9.png","0.0144014358520508","86","128","0.011008"
"5/7/2018 10:32:00 PM","cattail1.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\cattail1.png","0.0271587371826172","171","85","0.014535"
"5/7/2018 10:32:05 PM","cattail2.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\cattail2.png","0.0248088836669922","239","195","0.046605"
"5/7/2018 10:32:07 PM","cattail3.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\cattail3.png","0.0229196548461914","239","195","0.046605"
"5/7/2018 10:32:19 PM","cattail4.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\cattail4.png","0.0332365036010742","239","195","0.046605"
"5/7/2018 10:32:02 PM","cattail5.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\cattail5.png","0.0413112640380859","239","195","0.046605"
"5/7/2018 10:32:29 PM","lillypads1.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads1.png","0.0382442474365234","180","256","0.04608"
"5/7/2018 10:32:30 PM","lillypads2.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads2.png","0.0234003067016602","94","175","0.01645"
"5/7/2018 10:32:33 PM","lillypads3.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads3.png","0.0199575424194336","50","82","0.0041"
"5/7/2018 10:32:34 PM","lillypads4.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads4.png","0.0197772979736328","62","101","0.006262"
"5/7/2018 10:32:37 PM","lillypads5.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads5.png","0.0288410186767578","162","224","0.036288"
"5/7/2018 10:32:39 PM","lillypads6.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads6.png","0.0490007400512695","162","224","0.036288"
"5/7/2018 10:32:42 PM","lillypads7.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads7.png","0.0365877151489258","162","224","0.036288"
"5/7/2018 10:32:45 PM","lillypads8.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads8.png","0.0186367034912109","26","44","0.001144"
"5/7/2018 10:32:47 PM","lillypads9.png","\\beast\c\initium\Initium-Resources\war\images\2d\reeds\lillypads9.png","0.0234003067016602","94","175","0.01645"
"5/9/2018 11:01:09 AM","rock1.png","\\beast\c\initium\Initium-Resources\war\images\2d\rocks\rock1.png","0.0190954208374023","112","151","0.016912"
"5/9/2018 10:50:17 AM","rock2.png","\\beast\c\initium\Initium-Resources\war\images\2d\rocks\rock2.png","0.00339412689208984","42","38","0.001596"
"5/9/2018 10:59:47 AM","rock3.png","\\beast\c\initium\Initium-Resources\war\images\2d\rocks\rock3.png","0.00556087493896484","50","65","0.00325"
"5/9/2018 10:58:32 AM","rock4.png","\\beast\c\initium\Initium-Resources\war\images\2d\rocks\rock4.png","0.0309076309204102","167","175","0.029225"
"5/9/2018 10:56:38 AM","rock5.png","\\beast\c\initium\Initium-Resources\war\images\2d\rocks\rock5.png","0.0467348098754883","217","226","0.049042"
"5/22/2018 6:57:33 AM","birchtree1-raw.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\birchtree1-raw.png","0.86058235168457","1920","1080","2.0736"
"5/22/2018 6:58:03 AM","birchtree2-raw.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\birchtree2-raw.png","0.820825576782227","1920","1080","2.0736"
"5/9/2018 10:24:40 AM","snowtree1.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\snowtree1.png","0.12435245513916","559","294","0.164346"
"5/9/2018 10:24:44 AM","tree1.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\tree1.png","0.159699440002441","486","365","0.17739"
"5/9/2018 10:28:42 AM","tree2.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\tree2.png","0.108726501464844","581","307","0.178367"
"5/9/2018 10:24:49 AM","tree3.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\tree3.png","0.0602846145629883","461","160","0.07376"
"5/9/2018 10:24:52 AM","tree4.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\tree4.png","0.0845832824707031","487","199","0.096913"
"5/9/2018 10:24:54 AM","tree5.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\tree5.png","0.0693483352661133","445","165","0.073425"
"5/9/2018 10:24:57 AM","tree6.png","\\beast\c\initium\Initium-Resources\war\images\2d\trees\tree6.png","0.00927448272705078","73","71","0.005183"
